Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","051","Arménie","6103","Part du PIB US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2019","2019","%","6.64146","E","Valeur estimée",""
"MK","Indicateurs macro","051","Arménie","6129","Croissance annuelle US$","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2019","2019","%","13.585425","E","Valeur estimée",""
"MK","Indicateurs macro","051","Arménie","6110","Valeur US $","22011","Revenu national brut","2018","2018","millions","12676.54761","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","051","Arménie","6129","Croissance annuelle US$","22011","Revenu national brut","2018","2018","%","6.214735","E","Valeur estimée",""
"MK","Indicateurs macro","051","Arménie","6110","Valeur US $","22011","Revenu national brut","2019","2019","millions","13858.276348","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","051","Arménie","6129","Croissance annuelle US$","22011","Revenu national brut","2019","2019","%","9.322165","E","Valeur estimée",""
"MK","Indicateurs macro","051","Arménie","6110","Valeur US $","22011","Revenu national brut","2020","2020","millions","12863.033728","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","051","Arménie","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","-7.181576","E","Valeur estimée",""
"MK","Indicateurs macro","533","Aruba","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","millions","3202.189944","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","533","Aruba","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","3.549305","E","Valeur estimée",""
"MK","Indicateurs macro","533","Aruba","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","3310.2045","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","533","Aruba","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","3.373146","E","Valeur estimée",""
"MK","Indicateurs macro","533","Aruba","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","millions","2496.791098","X","Ciffre de sources internationales",""
