Zone,PIB Valeur US $,Céréales - Disponibilité intérieure (Milliers de tonnes),Fruits - Disponibilité intérieure (Milliers de tonnes),Légumes - Disponibilité intérieure (Milliers de tonnes),Poisson - Disponibilité intérieure (Milliers de tonnes),Viande - Disponibilité intérieure (Milliers de tonnes),distance_to_france,region,Femmes,Hommes,Population rurale,Population totale,Population urbaine,Volailles - Disponibilité intérieure (Milliers de tonnes),Volailles - Importations - Quantité (Milliers de tonnes),Volailles - Production (Milliers de tonnes),Blé - Aliments pour animaux (Milliers de tonnes),Blé - Importations - Quantité (Milliers de tonnes),Blé - Production (Milliers de tonnes),Maïs - Aliments pour animaux (Milliers de tonnes),Maïs - Importations - Quantité (Milliers de tonnes),Maïs - Production (Milliers de tonnes)
Jamaïque,15830.762952,647.0,360.0,315.0,265.88,190.0,7769.199157529548,Americas,1417.116,1396.657,1279.22,2813.773,1627.119,165.0,32.0,134.0,0.0,233.0,0.0,261.0,289.0,2.0
Japon,5148781.948478,35585.0,5057.0,13326.0,13998.15,6595.0,9850.103892934118,Asia,64633.006,61158.671,10531.932,125791.677,116322.813,2499.0,1094.0,2298.0,780.0,5680.0,1038.0,12260.0,15992.0,0.0
Jordanie,44502.816901,2972.0,457.0,1167.0,407.46,352.0,3399.294771859274,Asia,5143.079,5555.605,885.864,10698.683,9183.93,235.0,62.0,185.0,0.0,928.0,26.0,733.0,797.0,0.0
Kazakhstan,181667.115805,8940.0,1028.0,6895.0,1381.73,1327.0,4752.270913034778,Asia,9748.515,9005.743,7894.648,18754.258,10698.322,372.0,182.0,214.0,828.0,458.0,11452.0,324.0,18.0,896.0
Kenya,100554.205721,8335.0,3427.0,3140.0,790.24,634.0,6208.772729827912,Africa,25679.257,25272.193,37851.953,50951.45,14362.838,89.0,0.0,89.0,0.0,2029.0,367.0,396.0,265.0,3582.0
Kirghizistan,8871.019823,2293.0,252.0,1353.0,228.07,221.0,5651.116485179438,Asia,3218.606,3105.037,3943.164,6323.643,2275.452,37.0,34.0,10.0,150.0,466.0,601.0,522.0,6.0,712.0
Kiribati,177.934614,15.0,9.0,6.0,78.75000000000001,5.0,15169.556268013985,Oceania,63.851,60.39,54.392,124.241,66.036,3.0,2.0,1.0,0.0,6.0,78.5,0.0,0.0,233.0
Koweït,136191.632701,1135.0,368.0,834.0,367.84,308.0,4327.41889055588,Asia,1702.878,2738.222,0.0,4441.1,4248.974,209.0,154.0,61.0,0.0,608.0,0.0,117.0,115.0,26.0
Lesotho,2453.706774,374.0,39.0,52.0,26.34,20.0,8830.449922468413,Africa,1127.746,1097.956,1637.308,2225.702,655.374,3.0,2.0,2.0,10.0,80.0,1.0,1.0,142.0,35.0
Lettonie,34308.783825,898.0,121.0,180.0,211.52,139.0,1934.0910753847795,Europe,1032.054,884.501,607.314,1916.555,1303.794,46.0,48.0,35.0,167.0,535.0,2371.0,29.0,101.0,0.0
Liban,53556.297821,1633.0,847.0,819.0,283.74,221.0,3146.28457426828,Asia,2967.783,2814.124,681.91,5781.907,5384.012,133.0,10.0,128.0,4.0,639.0,140.0,590.0,577.0,3.0
Libye,59830.238583,2119.0,601.0,1429.0,363.03000000000003,265.0,2579.2311084545954,Africa,3240.076,3329.012,1288.13,6569.088,5281.734,204.0,76.0,129.0,152.0,798.0,140.0,121.0,138.0,3.0
Libéria,2582.242493,686.0,208.0,132.0,112.64,91.0,4564.493823086081,Africa,2505.847,2479.442,2408.447,4985.289,2569.273,53.0,38.0,15.0,0.0,48.0,0.0,1.0,2.0,233.0
Lituanie,54697.379017,1941.0,173.0,289.0,337.67,245.0,1809.68160956323,Europe,1517.198,1331.885,920.766,2849.083,1943.693,85.0,49.0,100.0,147.0,298.0,3844.0,202.0,380.0,98.0
Luxembourg,70195.715496,169.0,66.0,57.0,70.27,50.0,493.7713378926581,Europe,308.142,311.831,52.396,619.973,544.596,12.0,12.0,0.0,26.0,187.0,82.0,6.0,17.0,1.0
Macédoine du Nord,12547.045163,750.0,395.0,684.0,96.19,82.0,1641.5682504186211,Europe,1059.539,1054.637,872.081,2114.176,1214.639,42.0,41.0,1.0,75.0,207.0,240.0,170.0,52.0,148.0
Madagascar,14104.664678,5503.0,1251.0,446.0,300.79,188.0,8505.18980434443,Africa,13728.596,13804.538,16758.613,27533.134,10211.029,86.0,0.0,86.0,0.0,399.0,5.0,2.0,5.0,219.0
Malaisie,364684.031843,9872.0,1506.0,2149.0,3761.27,1951.0,10415.34223088804,Asia,16009.996,16794.024,7592.143,32804.02,24862.312,1482.0,73.0,1655.0,35.0,1944.0,40.0,3474.0,4415.0,60.0
Malawi,11146.123699,3748.0,3253.0,1668.0,633.49,481.0,7351.36755600364,Africa,9698.995,9168.342,16332.17,18867.337,3386.573,105.0,0.0,105.0,0.0,125.0,1.0,156.0,6.0,3392.0
Maldives,5607.747339,73.0,36.0,49.0,78.62,20.0,8297.898210385152,Asia,212.884,291.624,269.969,504.508,181.769,13.0,13.0,69.0,0.0,41.0,0.0,0.0,0.0,0.0
Mali,17281.795532,9443.0,1422.0,2749.0,401.01,222.0,3237.544866440595,Africa,10179.843,10387.581,11196.104,20567.424,8493.036,48.0,2.0,55.0,0.0,383.0,8.0,1578.0,1.0,3817.0
Malte,15725.930124,132.0,43.0,80.0,88.91,35.0,1528.8486930358351,Europe,244.0,259.634,23.057,503.635,410.188,13.0,9.0,4.0,0.0,60.0,0.0,43.0,58.0,0.0
Maroc,119870.737017,14496.0,4764.0,4082.0,2079.38,1397.0,1792.3420593191013,Africa,18022.621,18281.786,13557.256,36304.408,23077.9,847.0,7.0,842.0,2090.0,3904.0,4025.0,651.0,2746.0,40.0
Maurice,14045.808217,298.0,53.0,101.0,127.0,72.0,9255.302245260931,Africa,655.755,640.524,753.079,1296.279,518.289,54.0,4.0,51.0,0.0,171.0,0.0,68.0,120.0,0.0
Mauritanie,7889.655285,1007.0,60.0,165.0,176.72,140.0,3047.8691487456013,Africa,2238.719,2145.13,2120.517,4383.849,2540.632,27.0,31.0,5.0,15.0,685.0,9.0,4.0,21.0,17.0
Mexique,1268868.331537,62845.0,17195.0,9736.0,10846.45,9080.0,9190.116668717856,Americas,63898.082,61187.228,25877.808,125085.311,106450.227,4652.0,1142.0,3515.0,312.0,5249.0,3244.0,19455.0,16718.0,27228.0
Mongolie,13996.719189,506.0,34.0,194.0,399.85,398.0,7164.782820571379,Asia,1626.335,1606.094,995.997,3232.43,2170.247,14.0,14.0,0.0,16.0,43.0,411.0,1.0,6.0,233.0
Monténégro,5542.182456,143.0,107.0,66.0,56.78,47.0,1413.64157340577,Europe,323.013,307.383,206.74,630.396,422.615,10.0,7.0,4.0,9.0,102.0,2.0,27.0,42.0,3.0
Mozambique,15390.031041,3825.0,980.0,1254.0,668.54,247.0,7955.222382339806,Africa,15433.808,14851.787,19935.885,30285.595,11472.938,121.0,24.0,112.0,16.0,696.0,18.0,109.0,268.0,1452.0
Nauru,132.846561,1.0,1.0,0.0,34.50000000000001,1.0,14718.678309115812,Oceania,5.955,6.177,0.0,12.132,11.26,1.0,1.0,0.0,26.0,1.0,78.5,0.0,0.0,233.0
Nicaragua,12611.205562,1482.0,334.0,256.0,242.34,186.0,8782.315269622695,Americas,3379.591,3284.332,2619.224,6663.924,3731.933,134.0,7.0,140.0,0.0,189.0,0.0,68.0,298.0,400.0
Niger,12916.460168,6358.0,530.0,3052.0,231.92000000000002,187.0,3228.037025140527,Africa,11553.632,11889.761,19348.533,23443.393,3828.158,27.0,3.0,20.0,0.0,120.0,5.0,0.0,40.0,38.0
Nigéria,474516.650002,35411.0,11644.0,16042.0,3341.81,1480.0,4175.976181446129,Africa,100623.652,102680.839,98156.422,203304.492,102805.995,252.0,12.0,240.0,19.0,4688.0,60.0,4966.0,302.0,12700.0
Norvège,405510.0,2050.0,428.0,438.0,2151.56,366.0,1635.634346688102,Europe,2652.244,2696.034,938.907,5348.279,4462.009,109.0,3.0,107.0,234.0,591.0,450.0,77.0,80.0,233.0
Nouvelle-Calédonie,9438.127994,60.0,20.0,16.0,40.12,25.0,16821.692637461514,Oceania,142.938,142.436,81.884,285.374,201.492,11.0,10.0,1.0,11.0,33.0,0.0,9.0,0.0,9.0
